訊息來源,公司名稱,行業別,公司規模,工作地點,上班時間,工作職稱,學歷限制,工作內容,需求條件,最低薪資,最高薪資,福利制度,英語能力,註,Python,Swift,Linux,R,Sketch,Git,Cpp,DB
1111人力銀行,富邦媒體科技股份有限公司,百貨相關,2200人,內湖科技園區,0900-1800,網路購物數據分析師,碩士,電子商務大數據營運專案分析與規劃,"英語能力：精通
Office(Word, Excel,PowerPoint,Outlook,Access)
Python
R語言",40000,,"生日禮金
年終獎金
三節獎金
健身房
按摩室
慶生會
尾牙
下午茶
結婚生育補助
員工購物優惠
國內外旅遊補助
在職教育訓練",精通,,O,,,O,,,,
1111人力銀行,作品科技有限公司,網路相關,暫不提供,內湖科技園區,0900-1800,iOS APP 開發工程師,大學,"負責 iOS 平台上業務應用功能設計與開發
根據業務需求，編寫實現個模塊
參與產品整體架構的改進、性能優化與技術方案制定
負責 iOS 應用的升級和迭代","Obj-C
Swift",40000,,"年終獎金
年節獎金
分紅入股
生日禮金
生日假
伙食津貼
自強活動
國內旅遊
國內外旅遊補助
員工定期聚餐
尾牙
下午茶",不拘,,,O,,,,,,
1111人力銀行,遠傳電信股份有限公司,電信相關,6300人,內湖科技園區,0900 - 1800,IoT - iOS APP 資深工程師,大學,"負責 iOS App 相關研究，導入與開發
開發 IoT 相關產品之 App
持續優化公司專案 App
建立軟體發展流程，解決設計及開發層面技術問題
支援公司前瞻專案，研究並整合應用前後端技術","Obj-C
Swift",40000,,"生日禮金
年終獎金
三節獎金
健身房
按摩室
慶生會
尾牙
下午茶
結婚生育補助
員工購物優惠
國內外旅遊補助
在職教育訓練",不拘,,,O,,,,,,
1111人力銀行,旺捷智能感知股份有限公司,多媒體相關,暫不提供,台北市中正區,0930 - 1830,UIUX 設計師,大學,"Wireframe, Prototyping Tool
Android / iOS / Web RWD 介面設計","Sketch
Adobe Illustrator
Adobe Photoshop
Adobe XD",40000,,"年終獎金
員工定期聚餐
尾牙
下午茶",不拘,,,,,,O,,,
1111人力銀行,長榮海運股份有限公司,海運,1364人,桃園市蘆竹區,0830 - 1730,資訊工程師(系統管理),大學,資料庫、網路通訊、系統管理,"英語能力：精通
資訊電算機相關學門畢業",42000,,"生日禮金
免費供餐
上下班交通車
年終獎金
三節獎金
健身房
按摩室
慶生會
尾牙
下午茶
結婚生育補助
國內外旅遊補助
在職教育訓練",精通,,,,,,,,,
1111人力銀行,株式會社BSS,電腦軟體相關,50人,日本東京,0900 - 1730,軟體開發工程師,專科,"開發工程師、系統工程師、領導者
負責財務、物流、銷售、醫療健保等業務","英語能力：略通 - 中等
日語能力：中等 - 精通
資訊電算機相關學門畢業",56000,226000,"年終獎金
年節獎金
全勤獎金
生日禮金
生日假
伙食津貼
交通補助
員工宿舍
自強活動
國內旅遊
國內外旅遊補助
結婚生育補助
員工定期聚餐
尾牙
下午茶
國內外進修補助",中等,200000 - 800000 (應為日幣),,,,,,,,
1111人力銀行,友勁科技股份有限公司,網路相關,600人,內湖科技園區,0900 - 1800,軟體高級/資深工程師,大學,Linux Programming / WLAN Programming,"英語能力：中等
電機、電子、資訊工程學類畢業
C/C++ Programming
Linux Programming
Embedded Programming",40000,,"年終獎金
年節獎金
分紅入股
生日禮金
生日假
伙食津貼
自強活動
國內旅遊
國內外旅遊補助
員工定期聚餐
尾牙
下午茶",中等,,,,O,,,,O,
1111人力銀行,研華股份有限公司,電腦系統整合服務相關,8000人,內湖科技園區,0900 - 1800,雲端平台工程師,大學,"研究 OpenStack、Kubernetes 等開源相關技術規劃
設計雲平台和服務相關解決方案
開發、部署、測試、優化公有雲/私有雲解決方案
維護目前正在運行的公有雲/私有雲
協助私有雲製造流程、PoC驗證和測試","熟悉 Linux、Bash Shell Script
具有Java、Python或Go程式開發經驗
具 OpenStack、Kubernetes 相關經驗
具備任一資料庫 MongoDB、PostgreSQL、Redis部署或維運經驗",40000,,"年終獎金
年節獎金
分紅入股
生日禮金
生日假
伙食津貼
自強活動
國內旅遊
國內外旅遊補助
員工定期聚餐
尾牙
下午茶",不拘,,,,O,,,,,O
1111人力銀行,上銀科技股份有限公司,精密儀器相關製造,4800人,台北市大安區,0830 - 1730,機器人軟體開發工程師,碩士,"開發機器人操作介面
開發 SDK、API
軟體單元測試、性能測試、分析測試","熟悉物件導向之分析與設計能力
TCP / IP
JAVA / C++
MFC
Ethernet",40000,,"年終獎金
年節獎金
全勤獎金
生日禮金
伙食津貼
交通補助
國內旅遊
國內外旅遊補助
結婚生育補助
員工定期聚餐
尾牙
下午茶
國內外進修補助",不拘,,,,O,,,,,
1111人力銀行,上銀科技股份有限公司,精密儀器相關製造,4800人,台中市南屯區,0830 - 1730,機器人產品開發工程師,碩士,"機器人產品開發
產品外殼與塑膠模具設計
機構材料的測試與選用
模型製作、測試分析與改善","Pro-E / SolidWorks / Inventor
具備機器人相關知識
熟悉馬達傳動系統設計",40000,,"年終獎金
年節獎金
全勤獎金
生日禮金
伙食津貼
交通補助
國內旅遊
國內外旅遊補助
結婚生育補助
員工定期聚餐
尾牙
下午茶
國內外進修補助",不拘,,,,,,,,,
